symbol,n_days,corr,abs_corr,price_corr,hv_corr,lv_corr,roll_mean,roll_std,roll_recent,predictive,pred_pval,pred_beta,hv_delta
HG,4145,0.20970119822085917,0.20970119822085917,0.7528343624270726,0.18603805694008366,0.26538765640550166,0.24177591171150892,0.14503799047473817,0.13050475976433626,False,0.11835234914108009,0.030567087863320762,-0.079349599465418
PL,4130,0.18167174671607755,0.18167174671607755,0.33826665064215833,0.16949517316439233,0.21516269310784622,0.2228623319915845,0.12056459335112488,0.07874941755335108,False,0.4368363597398043,0.014324145326733064,-0.04566751994345389
PA,4117,0.17764360882680214,0.17764360882680214,0.3042871697207149,0.16216807430047397,0.2133467594454138,0.2066156122074279,0.1350250262933262,0.11703642848976056,False,0.19508934895236807,0.017403105348682144,-0.05117868514493984
SI,4145,0.1776357278175004,0.1776357278175004,0.5412749536564821,0.17420369920721537,0.2119547266093164,0.21244310862578866,0.11264837774658965,0.15741247810483233,False,0.12926745833554573,0.023146972508106666,-0.03775102740210104
RB,4139,0.17673079883447512,0.17673079883447512,0.7129728276467403,0.1364880435203208,0.24175110872677574,0.21387368144554852,0.15071383605564265,0.17955472537926578,True,0.003277541869538509,0.03546271380400465,-0.10526306520645495
KE,3110,0.17441369793904243,0.17441369793904243,0.8431854081400206,0.19993986814245399,0.1741615644086034,0.18854605053025084,0.10646588557122315,0.21817546904448656,False,0.7943764384745029,-0.004365283818096958,0.025778303733850594
QI,4019,0.17200746977496312,0.17200746977496312,0.5715667128301689,0.17567833308212685,0.19784630499805697,0.20463389414561617,0.10960076511536097,0.14890943281077929,False,0.08095134686956326,0.027605194041662277,-0.022167971915930118
ALI,1809,0.16061716055074157,0.16061716055074157,0.7490858712897606,0.17651680778276352,0.14897055599449696,0.180290396514511,0.09004871231659087,0.19573480309401475,False,0.6306470558825605,-0.014678559683445521,0.027546251788266557
ZO,4103,0.16033934871179575,0.16033934871179575,0.7417260224014198,0.16180891065962483,0.17354779274205948,0.1869306672567847,0.1512928466345206,0.11871935341659519,False,0.06055448105190189,-0.021112955907136945,-0.011738882082434648
6A,4126,0.15335298122373534,0.15335298122373534,0.18537948030952717,0.11503782531506875,0.2131755502266226,0.17309027377973848,0.12354295457011497,0.1561455348705981,True,0.009372944301283449,0.08969741344929283,-0.09813772491155386
MYM,1688,0.1530478562243477,0.1530478562243477,0.32364678469299435,0.10894313565750029,0.23926763966483391,0.1519535779208634,0.10765747979582709,0.09032783555492561,True,0.0411970928347917,0.0776736017283855,-0.13032450400733364
M2K,1689,0.1503911251260538,0.1503911251260538,0.4644538238633892,0.10133458355962154,0.24391593583618304,0.14346264984162058,0.12044271836804535,0.14348438625034646,True,0.027347601745339522,0.06148719487276152,-0.1425813522765615
MES,1689,0.14955022340436552,0.14955022340436552,0.28638834133975094,0.10624547586645133,0.23476822536991365,0.1446780819823561,0.10511802303513623,0.15232917793296769,True,0.025253735482173585,0.08119933947367008,-0.12852274950346232
M6A,4040,0.1489341322999641,0.1489341322999641,0.19184986286870806,0.11443698340283451,0.20545474967237562,0.1683638433936658,0.12149458700459559,0.15801024735519734,True,0.0012547233986217278,0.11374186561254163,-0.09101776626954111
EMD,4032,0.14872277170008247,0.14872277170008247,0.23156294540502148,0.09047898972814027,0.22985436386154354,0.16286123378950604,0.13348867529698388,0.1957535453814433,True,0.047481829382506315,0.04674457448760882,-0.13937537413340328
ES,4139,0.14188744467529646,0.14188744467529646,0.26368150022157755,0.08550894287438487,0.21798506802079867,0.15865793891904661,0.12482528405836715,0.1703201625216542,True,0.04842440014085262,0.052887608713529946,-0.1324761251464138
YM,4139,0.14080121683513003,0.14080121683513003,0.23819033472853332,0.08642955030736717,0.21447404612722512,0.16100261122881737,0.11826023917972975,0.10307692130537545,False,0.1335687122073872,0.042459974676365086,-0.12804449581985794
QU,763,0.13462737061675942,0.13462737061675942,0.7193892791182674,0.16149762664548256,0.12543176877511805,0.13556795300076527,0.05047050160819912,0.24655779877676046,False,0.6789760111620908,0.0054166058156384835,0.03606585787036451
NIY,4005,0.12923865403009704,0.12923865403009704,0.1471316112804011,0.09871984082076159,0.1794174831916866,0.15437517366823214,0.13063426007433018,0.10738721786131399,False,0.29036575956020566,0.023972676364718715,-0.08069764237092501
VX,3901,-0.12848574223638098,0.12848574223638098,0.1779041265381869,-0.07775711251888585,-0.186668129130501,-0.14564897200986632,0.11579986460296098,-0.15587425000136407,True,0.04262194762444145,-0.00687858592108474,0.10891101661161513
TT,770,0.12584064233398384,0.12584064233398384,0.7460270057538335,0.11389767299081724,0.13911067514060466,0.14893852548344172,0.08620428563601365,0.05140993621588969,False,0.9314220001932898,-0.0016072996167686491,-0.025213002149787417
RTY,2157,0.12192887835784828,0.12192887835784828,0.5894856821241216,0.08426309794027688,0.21057834358140992,0.1315490459616184,0.11734809350627581,0.15878991459233274,False,0.17782306980674215,0.039937926457710375,-0.12631524564113306
MNQ,1689,0.11933802137623557,0.11933802137623557,0.24582910148117937,0.0867236589025787,0.18338226903887728,0.11700716724269909,0.1059663199456497,0.17617762343488633,False,0.1004550199434842,0.048229735124699906,-0.09665861013629858
GC,4145,0.11700599476865274,0.11700599476865274,0.38405734651837,0.13619851887284076,0.12065618897484284,0.13968133204441754,0.09537527502040932,0.08411993772769355,False,0.16625758400210522,0.039893013414096096,0.01554232989799792
6C,4127,0.11669544820319788,0.11669544820319788,0.25447157792108943,0.06459970560338481,0.18336976434443714,0.13396091861877923,0.132486071266202,0.08433173148979936,False,0.10437079437757787,0.07156327406900381,-0.11877005874105233
NQ,4139,0.11600352602810361,0.11600352602810361,0.29305129949853115,0.06738970360647344,0.18117968899028775,0.1366717786321702,0.13510782888226308,0.18914409865840787,False,0.0816633842948078,0.03879960159364778,-0.11378998538381431
QO,4030,0.11439187916079245,0.11439187916079245,0.39024949408551995,0.14206804226985076,0.10895012888174131,0.1334033178245862,0.09675869370433654,0.08469882047516855,False,0.16279184900034793,0.04108304183846147,0.033117913388109446
ZM,4120,0.11416121290336347,0.11416121290336347,0.5411772686570988,0.05146284584893113,0.18088813548986907,0.16777822571431292,0.22529252575797115,-0.10404073014333312,False,0.5115825941541485,0.009712911385057761,-0.12942528964093794
SBLK,4000,0.1118731379677876,0.1118731379677876,0.29175555774794315,0.11520409022559376,0.12984695925298306,0.1240565402318069,0.07980792507902619,0.24864234750974967,False,0.5560592484648134,0.004604052059654597,-0.014642869027389302
MGC,3927,0.11006546204484602,0.11006546204484602,0.39022313396133435,0.13126754809747262,0.10973997598541109,0.12217839281072417,0.08848614854299554,0.0696802843346445,False,0.16374648528786576,0.0416895952724935,0.021527572112061535
QM,4030,0.10676548666607288,0.10676548666607288,0.6596840441007807,0.2090982068627695,0.12149738210893107,0.2557155128639432,0.125866540080335,0.31853369897901057,False,0.3415129029054652,0.00483509800049506,0.08760082475383843
LE,3995,0.10389629169973019,0.10389629169973019,0.28570111299248,0.10503639092932367,0.11783577874833534,0.10719078728570894,0.08009964510975569,0.21213401541501745,False,0.5816014203788851,-0.01226217419246683,-0.012799387819011673
6L,3739,0.10047544251923578,0.10047544251923578,0.017643117866086622,0.09826564759801258,0.11677638141274178,0.1032398287535916,0.09136349086117261,0.1699592199706422,False,0.8793307346828132,0.0026560044537421446,-0.018510733814729202
QH,980,0.09924769976446572,0.09924769976446572,0.7463724261334742,0.11428184416591843,0.1025042428959918,0.1065705063470194,0.08148325327856944,0.1303385421263023,False,0.8933635381845674,0.0016802163333436496,0.011777601269926621
6N,4127,0.09571531307449449,0.09571531307449449,0.016672366802294263,0.04690011247752018,0.15690560033521087,0.11388678193545661,0.1328350259264447,0.14286076849640844,False,0.05546597893969951,0.06144448567653509,-0.11000548785769068
DX,3913,-0.09358466625555235,0.09358466625555235,-0.034811376775797404,-0.07921060732076106,-0.12308643837722939,-0.10482485323799291,0.11553703073994498,0.019132273746236984,False,0.9579939128928205,-0.0034405366285540735,0.043875831056468334
UB,4026,-0.0906641391554179,0.0906641391554179,-0.3164527696826587,-0.05133209319373521,-0.14412943387620014,-0.10818605218327579,0.1070672202370153,-0.1301488488901676,False,0.08710042455104804,-0.05659236050755278,0.09279734068246492
ZB,4137,-0.08330153278633096,0.08330153278633096,-0.40424288261598423,-0.03587751833309618,-0.14214194725009774,-0.10712875448555695,0.11334841772905098,-0.15557385507194801,False,0.16244721396835396,-0.06076661445445005,0.10626442891700155
